18469430	Bar
48933476	Playground
48933476	Park
48933476	Basketball Court
21274773	Home (private)
28068128	Bridge
17830782	Bar
17830782	Rock Club
3954581	Hookah Bar
3954581	Middle Eastern Restaurant
21000790	Middle Eastern Restaurant
22685685	Home (private)
37681256	Dumpling Restaurant
37681256	Chinese Restaurant
21898235	Italian Restaurant
17882839	Road
17882839	Bridge
17882839	Office
4896891	Tech Startup
17882839	Tunnel
23481923	Home (private)
18166604	Concert Hall
18166604	Rock Club
4896891	Bistro
4896891	French Restaurant
24303865	Non-Profit
24303865	Bookstore
8004242	Music Venue
8004242	Sports Bar
8004242	Bar
15822397	Stadium
15822397	Music Venue
15822397	Hockey Arena
45720687	Stadium
45720687	Music Venue
45720687	Hockey Arena
21441694	Mexican Restaurant
20151744	Cocktail Bar
20151744	Cocktail Bar
15822397	Stadium
15822397	Music Venue
15822397	Hockey Arena
13481422	Performing Arts Venue
148193827	Home (private)
4030481	Brazilian Restaurant
4030481	Bar
4030481	BBQ Joint
26938968	Stadium
26938968	Music Venue
26938968	Hockey Arena
20075525	Rock Club
20075525	Bar
17325805	Concert Hall
13565942	Concert Hall
13565942	Rock Club
6855712	Bar
6855712	Cocktail Bar
93727691	Church
48941160	Nightclub
48941160	Lounge
12693082	Rock Club
12693082	Lounge
12693082	Cocktail Bar
30249532	Sushi Restaurant
20618952	Brazilian Restaurant
18831428	Stadium
18831428	Music Venue
18831428	Hockey Arena
17325805	Stadium
17325805	Music Venue
17325805	Hockey Arena
34824832	Multiplex
20591513	Rock Club
20591513	Music Venue
20591513	Concert Hall
20546473	Ramen / Noodle House
20546473	Japanese Restaurant
1101481	Stadium
1101481	Music Venue
1101481	Hockey Arena
5968152	Beer Garden
5968152	Bar
24919825	Gas Station / Garage
62332393	Convention
62332393	General Entertainment
27982905	Home (private)
15102699	General Entertainment
15102699	Theater
16537373	Cocktail Bar
16537373	Lounge
16537373	Bar
55281567	Gym
55281567	Gym / Fitness Center
15654762	Italian Restaurant
15654762	Wine Bar
48933476	Bus Line
40374963	Soccer Stadium
40374963	Music Venue
40374963	Soccer Field
22510922	Bar
22510922	Bar
16100191	Coffee Shop
18110587	Stadium
18110587	Music Venue
18110587	Hockey Arena
15728511	Stadium
15728511	Music Venue
15728511	Hockey Arena
6563502	Tea Room
15728511	Train Station
14086918	Movie Theater
14086918	Indie Movie Theater
33332588	Sports Bar
33332588	Pub
33332588	Bar
34672903	Road
15260501	Ramen / Noodle House
15260501	Japanese Restaurant
32806731	Bar
32806731	Pub
32806731	Brewery
93664770	Diner
93664770	American Restaurant
93664770	Brazilian Restaurant
8241232	Train Station
40268422	American Restaurant
40268422	Breakfast Spot
40268422	Bakery
5771742	Malaysian Restaurant
34091508	Stadium
34091508	Music Venue
34091508	Hockey Arena
130744371	Greek Restaurant
19376535	Art Gallery
14640609	Grocery Store
14640609	Asian Restaurant
18775436	Toll Plaza
18775436	Road
14571619	Multiplex
89865369	Stadium
89865369	Music Venue
89865369	Hockey Arena
187444641	General Entertainment
31192632	Gay Bar
31192632	Burger Joint
19269918	Stadium
19269918	Music Venue
19269918	Hockey Arena
48933476	Bus Line
48933476	Moving Target
11490912	Mexican Restaurant
22297413	Dessert Shop
22297413	Bakery
22297413	Coffee Shop
17193840	Cuban Restaurant
17411170	Temple
17411170	Event Space
17411170	Concert Hall
31036797	Subway
14449963	Bar
25159698	Jazz Club
23492324	German Restaurant
14631932	Italian Restaurant
46939217	Theater
46939217	Performing Arts Venue
119040716	Men's Store
119040716	Board Shop
60408373	Mexican Restaurant
29463041	Lounge
46939217	Comic Shop
46939217	Bookstore
46939217	Hobby Shop
14731296	Mexican Restaurant
14731296	Breakfast Spot
14731296	Bar
17044112	Pizza Place
17044112	Italian Restaurant
16370204	Indie Movie Theater
16370204	Movie Theater
16370204	Multiplex
14738181	Brewery
14738181	American Restaurant
14738181	Bar
75314756	Brewery
75314756	Beer Garden
17621749	Italian Restaurant
100855701	Train Station
14824238	Bowling Alley
14824238	Music Venue
14824238	Bar
65161188	History Museum
18903523	Pub
18903523	Bar
18903523	Sports Bar
12089132	Stadium
12089132	Music Venue
12089132	Hockey Arena
17859908	Gay Bar
17859908	Piano Bar
15509997	American Restaurant
15509997	Italian Restaurant
44095363	Italian Restaurant
95579394	Dessert Shop
95579394	American Restaurant
18395784	Pizza Place
18395784	Italian Restaurant
24123017	Grocery Store
24123017	Supermarket
14306772	Asian Restaurant
14306772	Chinese Restaurant
14306772	Bar
17613414	Coffee Shop
768532	Subway
768532	Bridge
768532	Train
21563182	Home (private)
15357170	Cocktail Bar
15357170	Lounge
102202457	Gay Bar
102202457	Bar
102202457	Speakeasy
162140361	Bar
18018123	General Entertainment
18018123	Theater
17092350	Pub
17092350	Bar
17092350	Diner
15949902	Stadium
15949902	Music Venue
15949902	Hockey Arena
18443055	Furniture / Home Store
18443055	Miscellaneous Shop
22890225	Concert Hall
29298991	Electronics Store
29298991	Other Repair Shop
18409685	American Restaurant
18409685	Lounge
18409685	Breakfast Spot
15597388	Subway
15941343	Pizza Place
15941343	Italian Restaurant
12397	Coffee Shop
12397	Office
12397	Sandwich Place
130402798	Train Station
18409685	Italian Restaurant
18409685	Pizza Place
69682524	Mexican Restaurant
69682524	Burrito Place
69682524	Taco Place
22862847	American Restaurant
22862847	Bar
39339955	Airport
15134577	Dive Bar
15134577	Bar
15134577	Pub
19863009	French Restaurant
15260501	Bar
15260501	Nightclub
59597307	Bubble Tea Shop
59597307	Tea Room
59597307	Coffee Shop
23398762	Tennis Court
23398762	Gym
23398762	Gym / Fitness Center
18018123	Ice Cream Shop
18018123	Juice Bar
31036797	Home (private)
22094100	Candy Store
22094100	Dessert Shop
22094100	Bar
27248265	Park
18228609	Bookstore
18228609	Coffee Shop
12200482	Bar
12200482	Wings Joint
12200482	Sandwich Place
71661572	American Restaurant
71661572	Bar
24123017	Pizza Place
16313992	Lounge
16313992	Beer Garden
28068128	Hospital
28068128	Emergency Room
28068128	Medical School
93234547	Indian Restaurant
93234547	American Restaurant
54751238	Grocery Store
142352439	Pub
142352439	Bar
142352439	Food
54751238	Fast Food Restaurant
54751238	Burger Joint
20879697	Home (private)
29319231	Subway
20749775	Stadium
20749775	Music Venue
20749775	Hockey Arena
167633022	Home (private)
33549238	Home (private)
54751238	Department Store
54751238	Clothing Store
64323929	French Restaurant
68486901	University
16291960	Art Gallery
14685129	Hotel
14685129	Motel
54751238	Furniture / Home Store
17830782	Concert Hall
17830782	Rock Club
80315528	Grocery Store
80315528	Supermarket
144617161	Italian Restaurant
144617161	Dessert Shop
144617161	Ice Cream Shop
80315528	Neighborhood
16957693	General Entertainment
16957693	Rock Club
16957693	Lounge
16881442	Concert Hall
16881442	Performing Arts Venue
16881442	Theater
91937240	Outdoor Sculpture
91937240	Park
91937240	Historic Site
18946674	BBQ Joint
16370204	Dive Bar
16370204	Bar
16370204	Pub
13227262	American Restaurant
13227262	Bar
15713363	Bowling Alley
15713363	Music Venue
